station_id,Easting,Northing,Operator
NEL20,543365.71,4609060.829,UCD
NEL18,543425.39,4608685.334,UCD
NEL15,543239.63,4608038.284,UCD
NEL12,543042.20,4607239.782,UCD
NEL09,543551.66,4607111.686,UCD
NEL06,543881.94,4606602.951,UCD
NEL05,544204.55,4606562.077,UCD
NEL04,544563.88,4606331.83,UCD
NEL02,545354.08,4606360.99,UCD
NEL01,545626.35,4606221.065,UCD
BSC_dam,549207.06,4605445.81,TNC
Busk_bridge,548893.56,4605552.80,UCD
BSC_WW,548351.71,4605712.79,TNC
BSC_LDB,547681.35,4605677.44,CDFW
BSC_mouth,546858.81,4604840.62,CDFW
SR_abv_BSC,546734.33,4604695.78,CDFW
PC_mouth,547534.41,4603381.84,CDFW
SR_abv_Parks,547565.01,4603402.08,CDFW
,,,
,,,
,,,
,,,
,,,
,,,
